,Job_Title,Company_Name,Company_Link,Company_location,Company_summary,Salary
19,newJr. Data Analyst,TRESUME,,"Newark, NJ",Use data to understand business patterns and trends.,$26 - $30 an hour
20,Junior Media/Data Analyst,"Passiflora, Inc.",,Remote,"Previous experience as a data analyst or in a similar role, preferred.","$45,000 - $55,000 a year"
21,newData Analyst (Contractor),Mountain Capital Partners,,Remote,Data analyst experience a plus.,$50 - $75 an hour
22,Data Analyst,Braintrust,https://www.indeed.com/cmp/Braintrust,Remote,View all Braintrust jobs in Remote - Remote jobs,$40 - $60 an hour
23,newEntry Level Data Analyst - 4487,ION,https://www.indeed.com/cmp/Ion,"New York, NY•Remote",Ability to quickly analyze and interpret qualitative and quantitative data.,
24,Data Analyst - Oklahoma City,CDC Foundation ( Contract),,+17 locationsRemote,"Perform basic data management, data cleaning and statistical analysis using SAS, R, or other statistical programming language on COVID-19 data to complete data…","$66,000 - $72,000 a year"
25,newData Analyst,Innovative Results,,"Washington, DC 20011 (Catholic University-Brookland area)",The data analyst will provide data support services that?,$50 an hour
26,Data Analyst,"Zartico, Inc.",,Remote,"Proven history of understanding data, finding insights and utilizing data to drive business strategy.",
27,newData Analyst,FXG Management,,"San Francisco, CA 94114 (Inner Sunset area)",Consolidate and analyze financial data.,$20 - $35 an hour
28,newData Analyst,Lunge Marketing,,"Redmond, WA 98052 (Downtown area)",You will be working closely with ownership and account management teams to deliver high quality insights for our customers.,
29,Data Analyst,Craneware,https://www.indeed.com/cmp/Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",
30,newEntry Level Data Conversion Analyst,Reynolds and Reynolds,https://www.indeed.com/cmp/The-Reynolds-and-Reynolds-Company,"Dayton, OH 45430",You will also complete migration of customer data from one Reynolds hardware platform to another.,Full-time
31,Junior Media/Data Analyst,"Passiflora, Inc.",,Remote,"Previous experience as a data analyst or in a similar role, preferred.","$45,000 - $55,000 a year"
32,newData Analyst / Entry Level / Bootcamp,PCS GLOBAL TECH,,"Los Angeles, CA+1 location•Temporarily Remote","Providing technical expertise on data storage structures, data mining, and data cleansing.","$60,000 - $70,000 a year"
33,Data Analyst,avansait,,Remote,Understand data and perform data analysis to derive insights and test correctness of the given business requirements.,$60 - $65 an hour
34,newJunior Data Analyst - Bootcamp/Fulltime.,PCS Global Tech,,"Boston, MA•Temporarily Remote",1-3 years of work experience as a data analyst or in related field is preferred.,"$60,000 - $70,000 a year"
35,Data Analyst,KGS Technology Group,,"Canyon, CA•Temporarily Remote",A data analyst is someone who scrutinizes information using data analysis tools.,"$39,798 - $105,582 a year"
36,Data Analyst,Simple Solar LLC,https://www.indeed.com/cmp/Simple-Solar,"Murrieta, CA 92563",Quality assurance and quality control of company data.,"$60,000 a year"
37,newData Analyst,Stellantis,https://www.indeed.com/cmp/Stellantis,"Warren, MI 48091",This role requires an acute attention to detail in order to manage the Quality department internal database.,
38,Research Analyst (Data),MIT,https://www.indeed.com/cmp/Massachusetts-Institute-of-Technology,"Cambridge, MA 02139 (MIT area)",The typical research analyst is considering future graduate study in economics.,Full-time
39,139A: Data Analyst,Dataspace,,"San Francisco, CA",Why data job seekers work with Dataspace.,"$200,000 a year"
40,newData Analyst – ANA21-PL2021,"Evergreen Technologies, LLC.",https://www.indeed.com/cmp/Evergreen-Technologies,"Cromwell, CT+36 locations","Partner with peer team members on the Security Reference Data team to provide ad-hoc data analysis, and/or guidance on fixed income data conventions.",
41,Data Analyst,CDC Foundation ( Contract),,"Houston, TX 77054 (Astrodome area)+17 locations","Perform basic data management, data cleaning and statistical analysis using SAS, R, or other statistical programming language on COVID-19 data to complete data…","$66,000 - $72,000 a year"
42,Data Analyst,InterMedia Advertising,https://www.indeed.com/cmp/Intermedia-Advertising,"Woodland Hills, CA 91367","Providing technical expertise on data storage structures, data mining, and data cleansing.","$40,000 - $55,000 a year"
43,Data Analyst - Entry Level,HotSchedules,https://www.indeed.com/cmp/Hotschedules,Remote,Interpret data to answer key strategic questions.,Full-time
44,newPart-time Data Analyst (20 hours/week),COMMUNITY PARTNERS IN ACTION,https://www.indeed.com/cmp/Community-Partners-in-Action,"Hartford, CT 06103 (Downtown area)",Provide on-going communication to RWC staff and the Evaluation Team regarding data collected on each participant.,$19.23 an hour
45,newJunior Data Analyst/ SQL Developer,PCS GLOBAL TECH,,"New York, NY•Temporarily Remote",1-3 years of work experience as a data analyst or in related field is preferred.,"$60,000 - $70,000 a year"
46,"Data Analyst, University Graduate - 2022 Start",TikTok,https://www.indeed.com/cmp/Tiktok,"Mountain View, CA 94041 (Old Mountain View area)+2 locations","Use data to identify trends, conduct root cause analysis and suggest potential opportunities for gaps and improvements.",
47,Data Analyst (Assistant Staff Analyst) - COVID-19 Response (...,Brilliant Corners,https://www.indeed.com/cmp/Brilliant-Corners,"Los Angeles, CA 90014 (Downtown area)•Remote",Comfort working with data systems and learning new data systems.,$50 an hour
48,Data Analyst,ETR (Enterprise Technology Research),,"New York, NY 10001 (Chelsea area)",Ingest raw data files and build data validation scripts to ensure high data quality.,"$100,000 - $125,000 a year"
49,Data Analyst,iUNU,https://www.indeed.com/cmp/Iunu,Remote,"1-2 years working as a data analyst, reconciling large data sets of data using excel.",
50,Data Analyst,Positive Psyche,https://www.indeed.com/cmp/Positive-Psyche,Remote,"The Senior Data Analyst will conduct exploratory data analysis, statistical analysis, data visualization predictive modeling and forecasting to produce…","$95,000 a year"
51,139A: Data Analyst,Dataspace,,"San Francisco, CA",Why data job seekers work with Dataspace.,"$200,000 a year"
52,Data Analyst with R and Python,spar information systems,https://www.indeed.com/cmp/Spar-Information-Systems,Remote,"Data Analytics : Python - Jupyter Notebook, spyder, R Studio · Machine Learning: Scikit, Tensorflow, Pandas, Numpy, matplotlib, seaborn · Reporting Tools :…","$46,861 - $111,481 a year"
53,newData Analyst,Erudite Solutions Inc,,"Newark, NJ•Temporarily Remote","Job Types: Full-time, Contract.",$30 - $35 an hour
54,newData Analyst,Millennium Consulting,,"Providence, RI",Participate in shaping future data.,"$90,000 - $125,000 a year"
55,"Policy Analyst, Data",NYC Office Of The Mayor,https://www.indeed.com/cmp/Nyc-Office-of-the-Mayor,"New York, NY",O Responding to rapid requests for data analysis and reporting.,"$54,100 - $62,150 a year"
56,Associate Data Analyst,EAB,https://www.indeed.com/cmp/Eab,"Richmond, VA 23219 (City Center area)+1 location•Remote",Our data analysts are an integral part of a small team focused on finding data-based insights to help optimize enrollment outcomes for college and university…,Full-time
57,Data Analyst,MQR Technologies,,"San Francisco, CA 94105 (Financial District area)","8+ years of work experience in data analyst, technical solutions, engineering or other technical positions.","$100,437 - $141,685 a year"
58,newJunior Data Analyst - Bootcamp/Fulltime.,PCS Global Tech,,"Boston, MA•Temporarily Remote",1-3 years of work experience as a data analyst or in related field is preferred.,"$60,000 - $70,000 a year"
59,newData Analyst,Harris Computer Systems,https://www.indeed.com/cmp/Harris-Computer-Systems,California,Develop database objects and scripts to load data · Provide technical documentation for data feeds.,Full-time
60,DATA ANALYST,Shootproof Llc,,Remote,"The ideal candidate will be highly self-motivated and inquisitive, with strong analytical skills, extreme attention to detail, and a passion for using data to…",Full-time
61,newProgram Analyst (Data Analytics),US Environmental Protection Agency,https://www.indeed.com/cmp/Environmental-Protection-Agency,"San Francisco, CA","GS-13: 1) Analyzing data involving audits, evaluations, and investigations; 2) Developing data dashboards using business intelligence solutions (e.g. Power BI)…","$93,081 - $146,120 a year"
62,newData Analyst - entry level,CCS Global Tech,https://www.indeed.com/cmp/Ccs-Global-Tech,"Seattle, WA+2 locations","Provides plan with data, reporting and analyses that enable data driven decision making.",Full-time +2
63,Data Analyst,PlusMedia LLC,,+1 locationRemote,Manage and process data from various databases and ensure data integrity from start to finish.,"$50,000 - $60,000 a year"
64,newData Analyst,Rx Medical Llc,https://www.indeed.com/cmp/Rx-Medical,"Oklahoma City, OK 73114",Proven working experience as a data analyst or business data analyst.,Full-time
65,Data Analyst,Optimove,,Remote,Conducting consumer data research and analytics.,Full-time
66,Data Engineering & Visualization Analyst,"D. E. Shaw & Co., L.P.",https://www.indeed.com/cmp/D.-E.-Shaw-&-Co.---Investment-Firm,"New York, NY",Members of HCAP are curators of employee data and leverage it to help answer strategic and operational talent questions for leaders across the business.,
67,newData Analyst,M1 Finance,,Illinois•Remote,Acquire data from primary or secondary data sources and maintain databases/data systems.,
68,Data Analyst,Hitch,https://www.indeed.com/cmp/Hitch,"Austin, TX","Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data…","$60,000 - $70,000 a year"
69,newData Analyst,Atrium Health,https://www.indeed.com/cmp/Atrium-Health,"Charlotte, NC 28203 (Dilworth area)",Manages key data sources and data applications.,
70,Junior Data Analyst,Kargo,,"New York, NY","Write production-level code to perform experiments, prototype new data products and apply machine learning algorithms on very large data sets.",Full-time
71,Quantitative Data Analyst,"Resolute Management, Inc.","https://www.indeed.com/cmp/Resolute-Management,-Inc","Boston, MA 02110 (Downtown area)",Experience in data analysis (statistical or financial).,"$55,000 - $58,000 a year"
72,Entry Level Position / Free Bootcamp - Data Engineer / Data...,PCS Global Tech,,"Poway, CA+2 locations•Temporarily Remote","Provides plan with data, reporting, and analyses that enable data-driven decision-making.","$60,000 - $72,000 a year"
73,newData Visualization Analyst,EMI Advisors LLC,,"Washington, DC 20301","You will develop, manage, and update data visualization products and documents.","$54,549 - $123,097 a year"
74,Data Analyst IT552502,ICL,https://www.indeed.com/cmp/Institute-For-Community-Living,"New York, NY 10004 (Financial District area)","The data analyst collects, cleans, analyzes, reports, and visualizes the data pertinent to ICL operation, clinical activities, and administration.","$78,000 a year"
75,Data Analyst IT552502,ICL,https://www.indeed.com/cmp/Institute-For-Community-Living,"New York, NY 10004 (Financial District area)","The data analyst collects, cleans, analyzes, reports, and visualizes the data pertinent to ICL operation, clinical activities, and administration.","$78,000 a year"
76,newData Analyst,Dollar Loan Center,https://www.indeed.com/cmp/Dollar-Loan-Center,"Las Vegas, NV 89148 (Spring Valley area)",Monitoring data quality and removing corrupt data*.,"$65,000 - $80,000 a year"
77,newIT Data Analyst,Forward Thinking Technology Solutions,,"Breinigsville, PA 18031",An important aspect to becoming an IT data analyst and remaining competitive in the workplace is ensuring you stay current with technological advancements.,"$45,000 - $65,000 a year"
78,Data Analyst,Cognowiz Solutions,,"Herndon, VA 20170•Temporarily Remote","Design rich Graphic visualizations with modular design of reports, worksheets, and views in Tableau with a strong understanding of the appropriate chart types …","$70,000 - $180,000 a year"
79,Data Analyst,NYC Criminal Justice Agency,https://www.indeed.com/cmp/Nyc-Criminal-Justice-Agency,"New York, NY",Create data-cleaning routines for research datasets.,"$58,000 - $62,000 a year"
80,Retail Operations Data Analyst,REI,https://www.indeed.com/cmp/Rei,"Issaquah, WA 98027 (Issaquah Valley area)","Intermediate level data query, data analysis and data visualization/ communication.","$55,000 - $110,000 a year"
81,newData Analyst,Northwell Health,https://www.indeed.com/cmp/Northwell-Health,"Manhasset, NY 11030+7 locations","Identifies issues in data quality that would impact reporting (i.e. duplicate records, missing data, etc.).",
82,Data Analyst / Engineer,BayStreet Research,,"Oakland, CA 94607 (Old City area)•Remote","The analyst will help our organization provide our clients with timely, relevant, and actionable data and insights into key market trends.","$100,000 - $120,000 a year"
83,"newData Analyst – ANA21-PL2021 - NYC, NY","Evergreen Technologies, LLC.",https://www.indeed.com/cmp/Evergreen-Technologies,"New York, NY+36 locations","Partner with peer team members on the Security Reference Data team to provide ad-hoc data analysis, and/or guidance on fixed income data conventions.",
84,newJr. Business Analyst/Data Analyst,Constellation4 Health Solutions,,Remote,"Knowledge of data gathering, data cleaning, and transforming techniques.",
85,newData Analyst/Business Analyst,Advansys Solutions,,Remote,POSITION *: **Data Analyst / Business Analyst*.,"$70,000 - $140,000 a year"
86,newData Analyst,CY9,,"Plano, TX•Remote","Understanding existing data model, reverse engineering (data mart to source).",$50 - $55 an hour
87,Data and Reporting Analyst,INTO University Partnerships North America,,Remote,Close attention to detail and accuracy.,$27 an hour
88,Data Analyst,CitiusTech,https://www.indeed.com/cmp/Citiustech,Remote,"Do necessary data exploration, data sampling.",
89,newData Analyst 1,Nordstrom Inc,https://www.indeed.com/cmp/Nordstrom,"Seattle, WA+5 locations",Partner with key stakeholders on data analysis problems.,
90,newData Analyst 1,Nordstrom Inc,https://www.indeed.com/cmp/Nordstrom,"Seattle, WA+5 locations",Partner with key stakeholders on data analysis problems.,
91,newData Analyst,Air Pros,https://www.indeed.com/cmp/Air-Pros,"Hollywood, FL 33020 (Oakwood Hills area)",Our data analyst needs to have a combination of technical as well leadership skills.,
92,Data Product Analyst,"Code Willing, LLC",,"New York, NY 10017 (Murray Hill area)",Understand various vendor data sets and use data science skillset to make data available in normalised format based on client request.,"$70,000 - $75,000 a year"
93,Data analyst/Web Developer,Georgia Family Connection Partnership,https://www.indeed.com/cmp/Georgia-Family-Connection-Partnership,Remote,The data analyst/web developer produces and updates data products on gafcp.org/data-tools:,$15 - $59 an hour
94,New Graduate Data Analyst,"Discovery, Inc.",https://www.indeed.com/cmp/The-Discovery,"New York, NY 10003 (Flatiron area)","We do so by collecting data, applying business logic to the data and converting that data into reports and insights.",
95,Data Analyst,Simple Solar LLC,https://www.indeed.com/cmp/Simple-Solar,"Murrieta, CA 92563",Quality assurance and quality control of company data.,"$60,000 a year"
96,Data Analyst,StraighterLine,https://www.indeed.com/cmp/Straighterline,Remote,"Our data analyst II will partner with our product management team to review, analyze, and evaluate internal and external stakeholder needs to create data…",
97,Real Estate Data Analyst,Flagship Appraisals,,Remote,Real estate appraiser data entry experience.,"Up to $50,000 a year"
98,newData Analyst,Tech wish,,"Tampa, FL 33634",Track requests & Deliverables Identify new sources of data Secure access to data sources Determine data accuracy and usefulness.,$30 - $38 an hour
99,newJunior Data Analyst,PCS Global Tech,,"Arizona City, AZ•Temporarily Remote",1-3 years of work experience as a data analyst or in related field is preferred.,"$60,000 - $70,000 a year"
100,Data Analyst,Connection,https://www.indeed.com/cmp/Connection,Remote,"Experience in a Data Analyst role, with a focus on building data dashboards and/or analyzing large data sets to solve problem.",
101,Data Analyst I,Massachusetts General Hospital(MGH),https://www.indeed.com/cmp/Massachusetts-General-Hospital,"Boston, MA 02114 (West End area)+2 locations","The Data Analyst will ensure accuracy of the data, accounting for missing data and addressing data structure to best inform analyses.",
102,Data Analyst,MT Global US INC,,"Foster City, CA 94404 (Town Center area)","Ensures business data and analysis requirements are met by properly applying data concepts, including data structures, collection and cleansing, and structured…","$52,000 - $68,000 a year"
103,newData Analyst,Alegeus Technologies LLC,https://www.indeed.com/cmp/Alegeus,Remote,Import data in multiple formats into Excel and Power BI.,
104,Data Analyst,HelioCampus Inc,,Remote,"Deploy data products in the data warehouse, complete data validation and facilitate end user testing on designed reports and data products.",
